track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,album,release_type,release_date,explicit,artists,target_popularity,days_since_release,num_artists,has_features,num_words_in_title,num_words_in_album,num_hit_words_track,num_flop_words_track,num_hit_words_album,num_flop_words_album
Take The Long Way Home,0.414,0.7,5,-8.838,1,0.0301,0.22,0.000721,0.114,0.37,76.79,308853,4,41.58238,11,Breakfast In America (Deluxe Edition),album,1979-03-29,False,Supertramp,1,16450,1,False,5,5,3,2,2,2
Inside Outside,0.375,0.921,11,-5.387,1,0.239,0.0012,0.00509,0.27,0.455,121.208,206853,4,21.80397,14,Freestyle Mega Hits,compilation,2005-01-01,False,The Cover Girls,0,7040,1,False,2,3,0,0,1,1
King Of Suede,0.78,0.808,11,-10.056,0,0.0382,0.271,0.0,0.0958,0.569,128.505,255373,4,22.78319,12,In 3-D,album,1984-01-01,False,Weird Al Yankovic,0,14711,1,False,3,2,0,1,0,0
King of Hearts,0.458,0.303,9,-17.653,1,0.0375,0.335,0.0,0.136,0.449,145.653,245133,3,26.36699,13,Happy Woman Blues,album,1990-06-01,False,Lucinda Williams,0,12368,1,False,3,3,0,1,0,1
Get It Girl,0.882,0.6,4,-13.33,0,0.156,0.00835,1.1e-05,0.602,0.427,124.597,235867,4,20.31319,15,Is What We Are,album,1987-01-01,False,2 LIVE CREW,0,13615,1,False,3,4,1,1,0,0
A Rafael de León,0.382,0.308,4,-9.938,1,0.0389,0.96,5.57e-05,0.108,0.323,93.252,350267,4,34.30581,16,2 En 1 (Cuaderno De Coplas + A Través del Olvido),album,1984-01-01,False,Carlos Cano,0,14711,1,False,4,11,0,0,0,2
Electric Blue,0.688,0.909,10,-4.756,1,0.0354,0.0608,1.97e-06,0.1,0.641,109.673,263680,4,35.80878,12,Man Of Colours,album,1987-09-21,False,ICEHOUSE,1,13352,1,False,2,3,1,1,1,0
Cuando Sale la Luna,0.472,0.172,9,-18.132,0,0.0449,0.809,0.0,0.103,0.504,106.875,185307,4,47.64277,9,Que Te Vaya Bonito,album,1985-07-25,False,José Alfredo Jimenez,1,14140,1,False,4,4,1,1,0,0
Lay It Down,0.442,0.759,10,-13.475,1,0.0354,0.000402,0.0081,0.174,0.279,198.117,205560,4,25.17896,12,Invasion of Your Privacy,album,1985-01-01,False,Ratt,0,14345,1,False,3,4,0,0,0,0
(Between A) Rock And A Hard Place,0.615,0.845,5,-9.943,0,0.0393,0.0928,2.77e-05,0.0755,0.585,117.444,227960,4,27.45929,13,The Best Of Cutting Crew,compilation,1993-01-01,False,Cutting Crew,0,11423,1,False,7,5,2,1,1,1
Everything I Need,0.743,0.622,4,-11.256,1,0.0275,0.129,0.00792,0.0883,0.962,129.61,214853,4,56.15588,10,Two Hearts,album,1985-04-23,False,Men At Work,1,14233,1,False,3,2,1,0,0,0
Living In A Dream,0.541,0.874,8,-5.128,1,0.0481,3.59e-05,0.00621,0.987,0.775,129.045,215853,4,22.75433,10,Live At the Viper Room,album,2015-06-06,False,Pseudo Echo,0,3232,1,False,4,5,1,1,1,1
The Heart Is Not So Smart,0.702,0.491,0,-13.677,1,0.0332,0.542,5.92e-05,0.0646,0.687,95.288,275627,4,39.12552,14,Rhythm Of The Night,album,1985-01-01,False,DeBarge,0,14345,1,False,6,4,1,1,1,1
North By North,0.439,0.836,3,-11.718,1,0.0543,0.038,0.201,0.179,0.887,132.46,244600,4,57.72755,12,Daddy's Highway,album,1987-01-01,False,The Bats,0,13615,1,False,3,2,0,0,0,0
Two Oldtimers,0.34,0.28,11,-14.929,1,0.0355,0.774,0.669,0.123,0.0711,174.065,422747,4,30.94812,17,Rastakraut Pasta,album,1980-01-01,False,Moebius&&Plank,0,16172,2,True,2,2,0,0,0,0
My Prayer,0.493,0.526,10,-10.992,1,0.0295,0.398,1.61e-05,0.309,0.314,106.885,185227,3,32.94489,10,"The Best Of Ray, Goodman & Brown",compilation,1996-01-01,False,"Ray, Goodman & Brown",0,10328,1,False,2,7,0,0,1,1
When She Was My Girl,0.696,0.593,5,-10.283,1,0.0399,0.203,0.00219,0.0767,0.778,100.346,206053,4,18.01532,9,Tonight,album,1981-01-01,False,Four Tops,1,15806,1,False,5,1,1,1,1,0
Sunset Grill,0.557,0.577,8,-12.175,1,0.027,0.0796,2.31e-05,0.0604,0.445,91.877,379000,4,27.20155,15,Building The Perfect Beast,album,1984-11-19,False,Don Henley,1,14388,1,False,2,4,0,0,0,0
Tough All Over,0.609,0.799,9,-10.352,1,0.0349,0.0188,1.01e-05,0.0779,0.505,132.961,277533,4,29.90857,14,Tough All Over,album,1985-05-01,False,John Cafferty & the Beaver Brown Band,0,14225,1,False,3,3,0,0,0,0
I Was Looking For Someone To Love,0.472,0.317,2,-16.294,1,0.0372,0.0693,1.34e-05,0.1,0.137,140.842,179493,4,33.12121,9,The Leif Garrett Collection,album,1998-07-22,False,Leif Garrett,0,9395,1,False,7,4,1,1,1,1
I Wanna Rock - Live,0.593,0.686,1,-7.608,1,0.4,0.358,0.000127,0.122,0.383,178.368,246133,4,31.29293,12,Live at Safari Club,album,1989-01-01,False,Junkyard Band,0,12884,1,False,5,4,3,2,1,1
Run To Me,0.597,0.517,4,-11.555,1,0.0271,0.299,6.21e-06,0.167,0.362,97.795,225400,4,34.89627,11,Raw Live' n' Blue,compilation,2009-12-28,False,Savoy Brown,0,5218,1,False,3,4,1,0,2,1
9 To 5,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,162467,4,25.12092,7,9 To 5 And Odd Jobs,album,1980-01-01,False,Dolly Parton,1,16172,1,False,3,6,0,0,0,0
"Symphonie ""Mathis der Maler"": 1. Engelkonzert",0.254,0.0807,2,-21.713,1,0.0428,0.906,0.918,0.36,0.0471,112.522,504627,4,50.94702,22,Hindemith: Symphonie 'Mathis der Maler' / Trauermusik / Symphonic Metamorphosis,album,1988-01-01,False,Paul Hindemith&&San Francisco Symphony&&Herbert Blomstedt,0,13250,3,True,6,10,0,0,0,0
Lyrics Of Fury,0.815,0.8,10,-15.051,0,0.167,0.492,0.0,0.287,0.89,106.064,255000,4,67.09658,10,Follow The Leader,album,1988-07-25,False,Eric B. & Rakim,0,13044,1,False,3,3,0,0,0,0
It's My Thing,0.795,0.709,11,-6.326,0,0.315,0.216,8.03e-06,0.305,0.804,102.585,342347,4,16.32859,15,Strictly Business,album,1988-06-07,False,EPMD,0,13092,1,False,3,2,1,0,0,0
China,0.432,0.728,2,-7.19,1,0.041,0.00172,1.9e-05,0.253,0.666,147.783,241573,4,40.46261,11,Good As Gold,album,1983-04-09,False,Red Rockers,0,14978,1,False,1,3,0,0,2,1
Downtown Train,0.527,0.584,10,-7.965,1,0.0314,0.0878,0.000103,0.117,0.271,114.941,279413,4,29.41867,15,If We Fall in Love Tonight,album,1996-11-12,False,Rod Stewart,1,10012,1,False,2,6,0,0,2,1
Das Eis bricht,0.323,0.14,9,-18.132,0,0.0411,0.994,0.903,0.0798,0.0745,68.569,700147,4,125.60439,26,Wie das Wispern des Windes,album,1986-01-01,False,Roedelius,0,13980,1,False,3,5,0,0,0,0
Go Down Easy,0.636,0.257,4,-16.584,1,0.0326,0.435,4.86e-06,0.0848,0.572,73.359,233000,4,65.32537,9,High Country Snows,album,1985-01-01,False,Dan Fogelberg,0,14345,1,False,3,3,0,0,2,1
Playing To Win,0.654,0.948,7,-5.273,1,0.102,0.249,0.0,0.204,0.848,130.557,179120,4,30.30196,11,Playing To Win (2010 Remaster),album,1984-01-01,False,Little River Band,0,14711,1,False,3,5,0,0,1,0
A Little Good News,0.609,0.471,0,-8.115,1,0.036,0.558,0.0,0.0277,0.546,71.217,188307,4,22.53554,9,Anne Murray The Best Of...So Far - 20 Greatest Hits,compilation,1994-01-01,False,Anne Murray,0,11058,1,False,4,10,2,2,3,4
If Looks Could Kill,0.651,0.706,1,-7.411,1,0.0363,0.0154,0.0,0.0719,0.704,121.839,215146,4,42.14981,11,Best of Player,compilation,1998-11-11,False,Player,0,9283,1,False,4,3,0,0,1,1
Tell It Like It Is,0.306,0.422,0,-13.578,1,0.0345,0.0387,1.1e-06,0.0809,0.671,201.042,269707,3,33.61802,12,Greatest Hits / Live,compilation,1980-01-01,False,Heart,0,16172,1,False,5,4,2,1,3,3
Deutschland,0.323,0.966,2,-5.773,1,0.0895,0.00949,0.000613,0.811,0.489,110.68,260600,4,32.21822,12,Live Pankehallen 21.01.1984,album,1984-01-01,False,Slime,0,14711,1,False,1,3,0,0,1,1
Zindagi Jab Bhi,0.604,0.497,2,-6.933,1,0.0267,0.748,0.0,0.358,0.549,95.008,296760,4,16.58908,14,Umrao Jaan (Original Motion Picture Soundtrack),album,1981-12-01,False,Talat Aziz,0,15472,1,False,3,6,0,0,4,4
Pongamos Que Hablo de Madrid,0.512,0.397,4,-15.918,1,0.0458,0.207,0.000193,0.147,0.532,158.145,245800,4,17.3937,18,Mucho Sabina,album,1980-01-01,False,Joaquín Sabina,0,16172,1,False,5,2,0,1,0,0
Respect Yourself,0.726,0.739,7,-7.115,0,0.033,0.0725,1.48e-05,0.292,0.539,118.836,231560,4,37.73972,13,"20th Century Masters: The Millennium Collection: Best of Motown '80s, Vol. 2",compilation,2002-01-01,False,Bruce Willis,0,8136,1,False,2,12,0,0,8,3
He Wants My Body,0.695,0.927,2,-10.4,0,0.0499,0.277,0.331,0.153,0.944,116.145,282027,4,26.6574,12,Sensational,album,1987-01-01,False,Starpoint,0,13615,1,False,4,1,1,1,0,0
"Piano Concerto No. 2 in F Major, Op. 102: II. Andante",0.155,0.00395,0,-39.307,0,0.0413,0.985,0.875,0.0678,0.0478,176.976,362520,3,45.99223,18,Shostakovich: Piano Concerto No. 2 / Symphony for Strings,album,1986-02-01,False,Dmitri Shostakovich&&I Musici de Montréal&&Maxim Shostakovich,1,13949,3,True,11,9,0,3,0,1
Lear,0.116,0.0179,9,-32.948,1,0.0462,0.97,0.969,0.0871,0.0347,71.498,1496133,3,49.51074,55,Deep Listening,album,1989-01-01,False,Pauline Oliveros&&Stuart Dempster&&Panaiotis,0,12884,3,True,1,2,0,0,0,0
Little Too Late,0.574,0.755,4,-3.051,1,0.0597,0.192,1.06e-06,0.148,0.918,134.996,206373,4,22.00866,11,Greatest Hits,compilation,2005-01-01,False,Pat Benatar,0,7040,1,False,3,2,1,1,2,2
The Way He Makes Me Feel,0.202,0.197,11,-15.961,0,0.0398,0.829,4.8e-05,0.371,0.0894,89.19,225960,3,40.29257,11,Yentl,album,1983-11-08,False,Barbra Streisand,0,14765,1,False,6,1,2,2,0,0
Some Kind Of Stranger,0.414,0.516,2,-11.418,0,0.0377,0.0103,0.0286,0.0907,0.189,127.904,440280,4,37.39742,13,First and Last and Always,album,1985-01-01,False,Sisters of Mercy,0,14345,1,False,4,5,0,0,0,0
Somebody Like You,0.77,0.498,11,-14.117,0,0.0345,0.196,0.000972,0.0432,0.949,116.304,256707,4,22.21006,10,A Place Like This,album,1988-01-01,False,Robbie Nevil,0,13250,1,False,3,4,2,1,1,0
The Truth Is Lyin' Next to You,0.454,0.228,3,-17.555,1,0.0295,0.402,0.0,0.083,0.484,173.603,208600,4,33.7753,11,Always & Forever,album,1987-05-04,False,Randy Travis,0,13492,1,False,7,3,0,0,1,0
The Woman In You,0.809,0.491,9,-16.846,0,0.035,0.114,5.82e-06,0.0546,0.976,131.134,243933,4,42.8073,12,Staying Alive (Original Motion Picture Soundtrack),compilation,1977-12-13,False,Bee Gees,0,16921,1,False,4,6,1,0,5,4
Flesh For Fantasy,0.66,0.751,9,-6.333,1,0.108,0.131,0.000196,0.11,0.563,94.491,278280,4,31.03956,10,Rebel Yell,album,1983-11-01,False,Billy Idol,1,14772,1,False,3,2,0,0,0,0
Por Ti,0.658,0.4,4,-10.459,0,0.0333,0.797,4.81e-05,0.236,0.517,110.102,167467,3,50.86526,8,16 Exitos De Oro,album,1988-01-01,False,Óscar Chávez,1,13250,1,False,2,4,0,1,0,1
Games Without Frontiers,0.738,0.717,6,-9.623,1,0.0545,0.326,3.79e-05,0.133,0.915,95.949,246973,4,57.22356,8,Peter Gabriel 3: Melt (Remastered Version),album,1980-05-23,False,Peter Gabriel,1,16029,1,False,3,6,0,0,2,2
Blaze Of Glory,0.589,0.445,2,-11.557,1,0.0895,0.269,0.0,0.0556,0.671,177.665,153867,4,31.41714,9,Share Your Love,album,1981-06-15,False,Kenny Rogers,0,15641,1,False,3,3,0,0,1,1
Don't Stop The Music,0.829,0.71,11,-8.736,1,0.0415,0.115,0.145,0.0541,0.949,98.293,249000,4,34.86585,12,80's Soul Number 1's,compilation,2007-01-01,False,Yarbrough & Peoples,0,6310,1,False,4,4,2,2,1,1
Forever Man,0.642,0.899,2,-6.032,0,0.0413,0.204,0.00756,0.171,0.784,111.158,192320,4,38.98244,10,Forever Man,compilation,2015-04-28,False,Eric Clapton,0,3271,1,False,2,2,2,1,2,0
Elle a les yeux revolver,0.577,0.273,5,-16.428,1,0.0499,0.496,0.0,0.0914,0.547,79.995,219973,3,33.45194,9,Marc Lavoine,album,1985-01-01,False,Marc Lavoine,1,14345,1,False,5,2,0,0,0,0
Wake Me Up Before You Go-Go,0.62,0.574,0,-11.893,1,0.0421,0.272,0.0,0.0607,0.9,81.548,231333,4,36.1681,8,Make It Big,album,1984-10-23,False,Wham!,1,14415,1,False,6,3,0,0,2,1
Baltic Ice: Breaker,0.522,0.315,11,-16.892,0,0.0311,0.898,0.639,0.404,0.216,99.334,283413,4,33.52728,11,White-Out Conditions,album,1987-01-01,False,bel canto,0,13615,1,False,3,2,0,0,0,0
"Broken Home, Broken Heart",0.354,0.987,11,-10.938,0,0.0632,0.00054,9.22e-05,0.363,0.223,117.112,124507,4,35.16435,8,Zen Arcade,album,1984-01-01,False,Hüsker Dü,0,14711,1,False,4,2,2,2,0,0
Just When I Needed You,0.551,0.487,8,-11.524,1,0.0328,0.622,0.000587,0.334,0.909,105.412,156560,4,33.28247,8,"The Bluegrass Album, Vol. 2",album,1982-01-01,False,The Bluegrass Album Band,0,15441,1,False,5,5,1,1,2,3
Finish What Ya Started,0.779,0.799,9,-14.766,1,0.0341,0.55,0.000404,0.0575,0.964,125.148,263133,4,81.17164,10,OU812,album,1988-05-24,False,Van Halen,0,13106,1,False,4,1,1,0,0,0
I Like You,0.679,0.723,4,-8.311,0,0.0382,0.0338,1.46e-05,0.0946,0.773,121.475,316027,4,36.04785,16,All of Phyllis Nelson (14 Songs & Hits),album,1984-01-01,False,Phyllis Nelson,0,14711,1,False,3,8,1,1,2,2
Jones Vs. Jones,0.71,0.414,7,-15.575,1,0.0461,0.404,0.000141,0.0405,0.807,92.959,256827,4,50.75723,11,Celebrate!,album,1980-09-29,False,Kool & The Gang,0,15900,1,False,3,1,0,0,0,0
You May See Me Walkin',0.713,0.456,9,-9.483,1,0.029,0.12,0.000177,0.262,0.941,129.913,147973,4,36.89555,6,Country Gentleman: The Best Of Ricky Skaggs,compilation,1998-01-01,False,Ricky Skaggs,0,9597,1,False,5,7,0,0,2,2
Luz do Repente,0.746,0.877,5,-3.664,1,0.111,0.286,0.0,0.156,0.885,109.085,234907,4,35.74778,12,Luz do Repente,album,1987-01-01,False,Jovelina Perola Negra,0,13615,1,False,3,3,0,0,0,0
So Bad,0.675,0.306,7,-14.007,1,0.0269,0.404,3.69e-06,0.125,0.564,87.945,202053,4,27.88777,9,Pipes Of Peace,album,1983-10-28,False,Paul McCartney,0,14776,1,False,2,3,1,0,0,0
Naughty Naughty,0.644,0.645,9,-7.777,1,0.0363,0.00778,1.29e-06,0.0747,0.894,113.607,219933,4,25.65571,11,John Parr,album,1984-01-01,False,John Parr,0,14711,1,False,2,2,0,0,0,0
